index,lesser,greater
24,CommonStockSharesOutstanding,CommonStockSharesIssued
15,CommonStockSharesOutstanding,CommonStockSharesAuthorized
23,PreferredStockSharesOutstanding,PreferredStockSharesAuthorized
19,PreferredStockSharesOutstanding,PreferredStockSharesIssued
22,PreferredStockSharesIssued,PreferredStockSharesAuthorized
46,DefinedBenefitPlanAccumulatedBenefitObligation,DefinedBenefitPlanBenefitObligation
47,CommonStockSharesIssued,CommonStockSharesAuthorized
39,DefinedBenefitPlanPlansWithBenefitObligationsInExcessOfPlanAssetsAggregateBenefitObligation,DefinedBenefitPlanBenefitObligation
40,DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateAccumulatedBenefitObligation,DefinedBenefitPlanAccumulatedBenefitObligation
45,DefinedBenefitPlansEstimatedFutureEmployerContributionsInCurrentFiscalYear,DefinedBenefitPlanExpectedContributionsInCurrentFiscalYear
41,DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateFairValueOfPlanAssets,DefinedBenefitPlanFairValueOfPlanAssets
42,DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateProjectedBenefitObligation,DefinedBenefitPlanBenefitObligation
47,DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiabilityUndistributedEarningsOfForeignSubsidiaries,UndistributedEarningsOfForeignSubsidiaries